Descripcion,ID,Codigo,Categoria,SubCategoria,Marca,Notas Adicionales,,Imagen,Cantidad Requerida por Maquina,Maquina
DSNU-16-100-PPV-A,1,19232,Cilindro Neumatico,,Festo,Cuchilla Dobladora,c:/Users/plasticosplasa/Pictures/media/image1.jpg,,1,Cepillo
DSNU-16-50-PPV-A,2,19230,Cilindro Neumatico,,Festo,Empuja alambre adelante,c:/Users/plasticosplasa/Pictures/media/image2.jpg,,1,Cepillo
DSNU-20-175-PPV-A,3,14321,Cilindro Neumatico,,Festo,Lengueta,c:/Users/plasticosplasa/Pictures/media/image3.jpg,,1,Cepillo
DSNU-25-125-P-A,4,19224,Cilindro Neumatico,,Festo,Alimentador de Alambre,c:/Users/plasticosplasa/Pictures/media/image4.jpg,,1,Cepillo
DSNU-20-160-PPV-A,5,19241,Cilindro Neumatico,,Festo,Peine (Alimentador de Cerda),c:/Users/plasticosplasa/Pictures/media/image5.jpg,,1,Cepillo
DSNU-25-160-PPV-A,6,19250,Cilindro Neumatico,,Festo,Pudiera Reemplazar el peine o alimentador de alambre,c:/Users/plasticosplasa/Pictures/media/image6.jpg,,0,Cepillo
DSNU-12-50-P-A,7,19192,Cilindro Neumatico,,Festo,Entra Pinza,c:/Users/plasticosplasa/Pictures/media/image7.jpg,,1,Cepillo
ESNU-12-10-P-A,8,19260,Cilindro Neumatico,,Festo,No funciona para reemplazar centra pinza,c:/Users/plasticosplasa/Pictures/media/image8.jpg,,0,Cepillo
DSNU-12-10-P-A,9,19189,Cilindro Neumatico,,Festo,Centra Pinza,c:/Users/plasticosplasa/Pictures/media/image9.jpg,,1,Cepillo
DSNU-16-10-PPV-A,10,1908266,Cilindro Neumatico,,Festo,Cierra Pinza,c:/Users/plasticosplasa/Pictures/media/image10.jpg,,1,Cepillo
DSNU-16-200-PPV-A,11,19235,Cilindro Neumatico,,Festo,Sube Pinza,c:/Users/plasticosplasa/Pictures/media/image11.jpg,,1,Cepillo
DSNU-16-80-PPV-A,12,19231,Cilindro Neumatico,,Festo,Cachador,c:/Users/plasticosplasa/Pictures/media/image12.jpg,,1,Cepillo
DSNU-25-10-P-A,13,19218,Cilindro Neumatico,,Festo,Cizalla,c:/Users/plasticosplasa/Pictures/media/image13.jpg,,1,Cepillo
DSNU-25-10-PPV-A,14,1908312,Cilindro Neumatico,,Festo,Cizalla,c:/Users/plasticosplasa/Pictures/media/image14.jpg,,0,Cepillo
DSNU-16-40-PPV-A,15,19229,Cilindro Neumatico,,Festo,Sube Tijera,c:/Users/plasticosplasa/Pictures/media/image15.jpg,,1,Cepillo
DSNU-12-250-PPV-A,16,193988,Cilindro Neumatico,,Festo,Aplasta Cerda,c:/Users/plasticosplasa/Pictures/media/image1.jpg,,1,Cepillo
DNC-32-30-PPV-A,17,1922618,Cilindro Neumatico,,Festo,Orientador Chuck Motriz,c:/Users/plasticosplasa/Pictures/media/image17.jpg,,1,Cepillo
AEN-25-20-A-P-A,18,536417,Cilindro Neumatico,,Festo,Cerrar Tijera,c:/Users/plasticosplasa/Pictures/media/image18.jpg,,1,Cepillo
ADVU-32-30-A-P-A,19,156621,Cilindro Neumatico,,Festo,Baja Rasuradora,c:/Users/plasticosplasa/Pictures/media/image19.jpg,,1,Cepillo
MFH-3-1/8 electrovalvula,93,7802,Valvula Neumatica,3 vias,Festo,,,,3,Cepillo
MFH-5-1/8 electrovalvula,94,9982,Valvula Neumatica,5 vias,Festo,,,,14,Cepillo
MFH-5-1/8 pilotada p aire,95,8823,Valvula Neumatica,5 vias,Festo,pilotada por aire,,,1,Cepillo
AS1201F-M5-04A,96,,Valvula Neumatica,reguladora caudal,SMC,,,,16,Cepillo
AS2201F-M5-06SA,97,,Valvula Neumatica,reguladora caudal,SMC,,,,12,Cepillo
"Regulador baja presion, 1/4"" NPT (120 psi)",98,AR200002,Valvula Neumatica,regulador de presion,Instrutek,,,,2,Cepillo
"Manometro 1.5"", estandar, 1/8"" NPT, posterior, 160 psi-kg/cm2",99,40110160,Indicador,manometro,Instrutek,,,,2,Cepillo
"Manometro 2"", estandar, 1/4"" NPT, posterior, 100 psi-kg/cm2",100,51110100,Indicador,manometro,Instrutek,,,,0,Cepillo
JMFH-5-1/8,101,8820,Valvula Neumatica,5 vias,Festo,Electrovalvula,,,1,Cepillo
DSNU-20-200-PPV-A,20,19242,Cilindro Neumatico,,Festo,,c:/Users/plasticosplasa/Pictures/media/image23.jpg,,0,Cepillo
QST-6 Union en T,102,153129,Conexion neumatica,cambio rapido,Festo,Para tubo flexible con diámetro exterior 6 mm,,,3,Cepillo
KQ2N04-06 adaptador,103,KQ2N04-06,Conexion neumatica,,SMC FIT,Adaptador macho enchuflable,,,,
AS1211F-M5-04A Regulador de flujo,104,AS1211F-M5-04A,Conexion neumatica,,SMC FIT,Flow control ,,,,
QST-4 Union en T 153128,105,153128,Conexion neumatica,cambio rapido,Festo,Para tubo flexible con diámetro exterior 4 mm,,,,
QSML-M5-6 153335,106,153335,Conexion neumatica,,Festo,,,,,
QSML-M5-4,107,153333,Conexion neumatica,,Festo,,,,,
AS1201F-M5-06A,108,AS1201F-M5-06A,Flow control,,SMC fit,,,,,
QS-6-4 ,21,153037,Racor ,,Festo,Racor Rapido,,,,
AS2201F-01-04SA,109,AS2201F-01-04SA,flow control,,SMC FIT,,,,,
QS-6-4,22,153032,Conector encuflable,,Festo,,,,,
MHY2-10D,110,MHY2-10D,Gripper,,SMC fit,Gripper angular,,,,
Cortador Bala FORM a,111,72495,Cortador ,Bala,ZAHORANSKY,,,,,
Cortador Recto 73927 HSS 90x30x27,91,73927,Cortador ,Recto,ZAHORANSKY,,,,,
Cortador Rara 74025 KZA72/Form N.10,112,74025,Cortador ,Rara,ZAHORANSKY,,,,,
Cortador Bala LI 319298,113,319298,Cortador ,Bala,LI,,,,,
Cortador Cacahuate 50390 KZA72 Form N.19,114,50390,Cortador ,Cacahuate,ZAHORANSKY, HSS-Co5 90x30x27 Stg.1600,,,,
cortador recto 73927,92,73927-B,Cortador ,Recto,zahoransky,HSS/E-90-25-27-W,,,,
Contra cuchilla bala 27496,115,27496,Contra Cuchilla,Bala,zahoransky,,,,,
Contra cuchilla Cacahuate Form N.19,116,U19,Contra Cuchilla,Cacahuate,zahoransky,,,,,
Contra cuchilla Rara Form N.10,117,N10,Contra Cuchilla,Rara,zahoransky,,,,,
Contra cuchilla Recto 73931 80x30x8,118,73931,Contra Cuchilla,Recto,zahoransky,,,,,
Cuchillas varias experimento,119,,Contra Cuchilla,,,,,,,
Abrazadera con pin para orientador de arrastre,120,21447,Abrazadera,,zahoransky,,,,,
Resortes para las tijeras del cepillo,121,,Resortes,,,,,,,
Resortes varios,122,,Resortes,,,,,,,
Resortes grandes,123,,Resortes,,,,,,,
Resorte Largo,124,,Resortes,,,,,,,
Amortiguador Hidráulico Carrera 15mm RBC2015 SMC,125,RBC2015,Amortiguador Hidraulico,15mm,SMC,,,,,
Topes de pinza,126,,Tope,,zahoransky,,,,,
Cizallas,127,,Cizallas,,zahoransky,,,,,
Orquillas,128,,Orquillas,,zahoransky,,,,,
Solera para pin orientador de arrastre,129,,Solera,,zahoransky,,,,,
Guias para alambre,130,,Guias,,,,,,,
Buje para embolo grandes,131,,Bujes,,,,,,,
Buje para embolo chicos,132,,Bujes,,,,,,,
Tapas para cilindros,133,,Tapas,,,,,,,
Bases chuck motriz,134,,Bases chuck,,,,,,,
Lenguetas ,135,,Lenguetas,,,,,,,
Bobina Magnetica 34411 MSFG-24/42-50/60-OD,23,34411,Bobina,,Festo,,c:/Users/plasticosplasa/Pictures/media/image33.jpg,,,
Bobina Magnetica MSFG-24/42-50/60,24,4527,Bobina,,Festo,,c:/Users/plasticosplasa/Pictures/media/image34.jpg,,,
Bobina Magnetica MSFW-110-50/60,25,6720,Bobina,,Festo,,c:/Users/plasticosplasa/Pictures/media/image35.jpg,,,
Tuerca Moleteada,136,,Tuerca,,,,,,,
Arandela,137,,Arandela,,,,,,,
Pinza usada (20 mm) ,26,,Pinzas,usadas 20 mm, ,,,,,
Pinza usada (22 mm) ,27,,Pinzas,usadas 22 mm,,,,,,
Pinza usada (23 mm) ,28,,Pinzas,usadas 23 mm,,,,,,
Pinza usada (24 mm) ,29,,Pinzas,usadas 24mm,,,,,,
Pinza usada (25 mm) ,30,,Pinzas,usadas 25mm,,,,,,
Pinza usada (28 mm) ,31,,Pinzas,usadas 26mm,,,,,,
Aramadura para el chuck de arrastre,32,,Proteccion ,,,,c:/Users/plasticosplasa/Pictures/media/image36.jpg,,,
lengueta con mango 152825,33,152825,Lenguetas,,zahoransky,,c:/Users/plasticosplasa/Pictures/media/image37.jpg,,,
aguja separadora 336208,34,336208,aguja separadora,,zahoransky,,c:/Users/plasticosplasa/Pictures/media/image38.jpg,,,
aguja separadora 336207,35,336207,aguja separadora,,zahoransky,,c:/Users/plasticosplasa/Pictures/media/image39.jpg,,,
lengueta con mango,36,,lengueta con mango,,zahoransky,,c:/Users/plasticosplasa/Pictures/media/image40.jpg,,,V10
